Page	Element Type	Element Name/Description	Has Drill-Down	Product Owner Correction - Should have Drill - Down?	QA Test Pass or Fail?	Drill-Down Destination	Notes
/csm/journey	Text	Onboarding Date	Yes			/account/[accountId]	Part of clickable card
/csm/journey	Progress Bar	Journey Progress Bar	No			N/A	Visual indicator only
/csm/journey	Timeline	Journey Milestone Timeline	No			N/A	Visual timeline only
/csm/journey	Badge	Milestone Status Badges	No			N/A	Display only
/csm/journey	Text	Milestone Descriptions	No	Yes		N/A	Display only
/csm/journey	Text	Next Milestone Information	No	Yes		N/A	Display only
/account/[id]	Header	Account Name	No			N/A	Static text
/account/[id]	Header	Account Tier and Industry	No			N/A	Static text
/account/[id]	Badge	Health Category Badge	No			N/A	Display only
/account/[id]	Text	ARR Value	No	Yes		N/A	Display only
/account/[id]	Text	CSM Assignment	No	Yes		N/A	Display only
/account/[id]	Text	Geography Information	No	Yes		N/A	Display only
/account/[id]	Progress Bar	Health Score Bar	No			N/A	Visual indicator only
/account/[id]	Chart	Health Trend Chart	No			N/A	Visual chart only
/account/[id]	List	Risk Indicators	No			N/A	Display only
/account/[id]	List	Improvement Recommendations	No			N/A	Display only
/account/[id]	Chart	Usage Trends Chart	No			N/A	Visual chart only (if implemented)
/account/[id]	Timeline	Engagement Timeline	No			N/A	Display only
/account/[id]	Card	Support Activity Metrics	No	Yes		N/A	Display only
/account/[id]	Card	Expansion Signals	No	Yes		N/A	Display only
/account/[id]	Card	Renewal Forecast	No	Yes		N/A	Display only
/account/[id]	List	Stakeholder Information	No			N/A	Display only
/account/[id]	List	Recent Activities	No			N/A	Display only
/account/[id]	List	AI Insights	No			N/A	Display only
