Page Name	Card Title	Card Type	Component Used	Location
Renewal Rate Detail Page	Renewal Rate	Summary Card	Custom Card	src/app/csm/kpi/renewal-rate/page.tsx
Renewal Rate Detail Page	Upcoming Renewals	Summary Card	Custom Card	src/app/csm/kpi/renewal-rate/page.tsx
Renewal Rate Detail Page	Pipeline ARR	Summary Card	Custom Card	src/app/csm/kpi/renewal-rate/page.tsx
Renewal Rate Detail Page	At-Risk Renewals	Summary Card	Custom Card	src/app/csm/kpi/renewal-rate/page.tsx
CO Enhanced Command Center	Q2C Cycle Time	KPI Card	KPICard	src/components/CommercialOps/EnhancedCommercialOpsCommandCenter.tsx
CO Enhanced Command Center	Quote Approval	KPI Card	KPICard	src/components/CommercialOps/EnhancedCommercialOpsCommandCenter.tsx
CO Enhanced Command Center	Invoice Accuracy	KPI Card	KPICard	src/components/CommercialOps/EnhancedCommercialOpsCommandCenter.tsx
CO Enhanced Command Center	DSO	KPI Card	KPICard	src/components/CommercialOps/EnhancedCommercialOpsCommandCenter.tsx
CO Enhanced Command Center	Revenue Recognition	KPI Card	KPICard	src/components/CommercialOps/EnhancedCommercialOpsCommandCenter.tsx
CO Enhanced Command Center	Deferred Revenue	KPI Card	KPICard	src/components/CommercialOps/EnhancedCommercialOpsCommandCenter.tsx
CO Enhanced Command Center	Quote Win Rate	KPI Card	KPICard	src/components/CommercialOps/EnhancedCommercialOpsCommandCenter.tsx
CO Enhanced Command Center	Renewal Quote Velocity	KPI Card	KPICard	src/components/CommercialOps/EnhancedCommercialOpsCommandCenter.tsx
CO Comprehensive Strategic View	Q2C Cycle Time	Strategic KPI Card	StrategicKPICard	src/components/CommercialOps/ComprehensiveStrategicView.tsx
CO Comprehensive Strategic View	Quote Approval	Strategic KPI Card	StrategicKPICard	src/components/CommercialOps/ComprehensiveStrategicView.tsx
CO Comprehensive Strategic View	Invoice Accuracy	Strategic KPI Card	StrategicKPICard	src/components/CommercialOps/ComprehensiveStrategicView.tsx
CO Comprehensive Strategic View	DSO	Strategic KPI Card	StrategicKPICard	src/components/CommercialOps/ComprehensiveStrategicView.tsx
CO Comprehensive Strategic View	Revenue Recognition	Strategic KPI Card	StrategicKPICard	src/components/CommercialOps/ComprehensiveStrategicView.tsx
CO Comprehensive Strategic View	Deferred Revenue	Strategic KPI Card	StrategicKPICard	src/components/CommercialOps/ComprehensiveStrategicView.tsx
CO Comprehensive Strategic View	Quote Win Rate	Strategic KPI Card	StrategicKPICard	src/components/CommercialOps/ComprehensiveStrategicView.tsx
CO Comprehensive Strategic View	Renewal Quote Velocity	Strategic KPI Card	StrategicKPICard	src/components/CommercialOps/ComprehensiveStrategicView.tsx
DSO Level 1 Drill-Down	Current DSO	Metric Card	Custom Card	src/components/CommercialOps/DSO/DSOLevel1TrendAging.tsx
DSO Level 1 Drill-Down	Trend	Metric Card	Custom Card	src/components/CommercialOps/DSO/DSOLevel1TrendAging.tsx
DSO Level 1 Drill-Down	Total AR	Metric Card	Custom Card	src/components/CommercialOps/DSO/DSOLevel1TrendAging.tsx
DSO Level 1 Drill-Down	90+ Days	Metric Card	Custom Card	src/components/CommercialOps/DSO/DSOLevel1TrendAging.tsx
DSO Level 1 Drill-Down	0-30 Days Aging	Aging Bucket Card	Custom Card	src/components/CommercialOps/DSO/DSOLevel1TrendAging.tsx
DSO Level 1 Drill-Down	31-60 Days Aging	Aging Bucket Card	Custom Card	src/components/CommercialOps/DSO/DSOLevel1TrendAging.tsx
DSO Level 1 Drill-Down	61-90 Days Aging	Aging Bucket Card	Custom Card	src/components/CommercialOps/DSO/DSOLevel1TrendAging.tsx
DSO Level 1 Drill-Down	90+ Days Aging	Aging Bucket Card	Custom Card	src/components/CommercialOps/DSO/DSOLevel1TrendAging.tsx
Q2C Level 1 Process Breakdown	Critical Bottleneck	Insight Card	Custom Card	src/components/CommercialOps/Q2C/Q2CLevel1ProcessBreakdown.tsx
Q2C Level 1 Process Breakdown	Needs Attention	Insight Card	Custom Card	src/components/CommercialOps/Q2C/Q2CLevel1ProcessBreakdown.tsx
Q2C Level 1 Process Breakdown	Performing Well	Insight Card	Custom Card	src/components/CommercialOps/Q2C/Q2CLevel1ProcessBreakdown.tsx
Q2C Level 1 Process Breakdown	Total Cycle Time	Insight Card	Custom Card	src/components/CommercialOps/Q2C/Q2CLevel1ProcessBreakdown.tsx
Sales Expansion Page	Net Revenue Retention	KPI Card	Custom Card	src/app/se/page.tsx
Sales Expansion Page	Expansion ARR	KPI Card	Custom Card	src/app/se/page.tsx
Sales Expansion Page	White Space Opportunity	KPI Card	Custom Card	src/app/se/page.tsx
Sales Expansion Page	Multi-Product Penetration	KPI Card	Custom Card	src/app/se/page.tsx
Churn Rate Detail Page	Current Churn Rate	Summary Card	Custom Card	src/app/csm/kpi/churn-rate/page.tsx
Churn Rate Detail Page	Target Churn Rate	Summary Card	Custom Card	src/app/csm/kpi/churn-rate/page.tsx
Churn Rate Detail Page	Churned ARR	Summary Card	Custom Card	src/app/csm/kpi/churn-rate/page.tsx
QBR Completion Detail Page	Completion Rate	Summary Card	Custom Card	src/components/CSM/KPI/QBRCompletionAnalysis.tsx
QBR Completion Detail Page	Overdue QBRs	Summary Card	Custom Card	src/components/CSM/KPI/QBRCompletionAnalysis.tsx
QBR Completion Detail Page	At-Risk ARR	Summary Card	Custom Card	src/components/CSM/KPI/QBRCompletionAnalysis.tsx
QBR Completion Detail Page	Avg Prep Time	Summary Card	Custom Card	src/components/CSM/KPI/QBRCompletionAnalysis.tsx
